Geo Point;Geo Shape;ARCSTRA_ID;FNODE;TNODE;CODVIA;NOMEVIA;DATAINIZ;LUNGHEZZ;LARGHEZZ;CIVIMINP;EXPOMINP;CIVIMAXP;EXPOMAXP;CIVIMIND;EXPOMIND;CIVIMAXD;EXPOMAXD;XPROPRIE;PROPRIETA;NUMQUART;NOMEQUART;DA;A;SUPERFICIE;CRESCIV;XTIPOLOG;ESTREMI;PROGXVIA;ID_ENTE;F50;F50_drufuc;ZONA_NOME;Shape_Leng;VEL2024;Velocità massima consentita
44.491886277354865, 11.283598364831926;"{""coordinates"": [[[11.283995679429644, 44.491394135752], [11.283230645707981, 44.492340835648456], [11.283220296028322, 44.49236327106937], [11.283219878096602, 44.492386525741395]]], ""type"": ""MultiLineString""}";50;4410;4413;63500;VIA ARISTIDE ZUCCONI;19920110;127.039966722;12;0;;0;;1;;3;;1;comunale;11;Borgo Panigale - Reno;VIA MASACCIO;VIA JODICHE NALDI;1524.48;0;0;0;1;A944;0;0;Barca;127.039966722;30;Strade 30 km/h o inferiore
44.492490399467584, 11.296781650562178;"{""coordinates"": [[[11.297618337781833, 44.4922739704683], [11.29594496334252, 44.49270682846688]]], ""type"": ""MultiLineString""}";169;4472;4473;7250;VIA ALBERTO BERGAMINI;19920110;141.243131691;10;2;;6;;1;;7;C;1;comunale;11;Borgo Panigale - Reno;VIA GIUSEPPE DI VAGNO;PIAZZA GIOVANNI BERNARDI;1412.4;1;0;0;1;A944;0;0;Barca;141.243131691;30;Strade 30 km/h o inferiore
44.49720847415538, 11.293910976415356;"{""coordinates"": [[[11.293633278603577, 44.49660404952855], [11.293624608620682, 44.4966334178244], [11.293625891436536, 44.496663492827565], [11.294222777074125, 44.49780757190566]]], ""type"": ""MultiLineString""}";173;4498;4499;43700;VIA GIACOMO PALLOTTI;19911021;142.397769041;10;6;;18;;5;;9;;1;comunale;11;Borgo Panigale - Reno;VIA LUCA ANTONIO TOSI BELLUCCI;PIAZZA CLODOVEO BONAZZI;1424;1;0;0;2;A944;0;0;Barca;142.397769041;30;Strade 30 km/h o inferiore
44.49512052600321, 11.282419451867465;"{""coordinates"": [[[11.282797570207643, 44.49504978141586], [11.282041333527287, 44.49519127059057]]], ""type"": ""MultiLineString""}";59;4437;14758;41200;VIA ISAAC NEWTON;19911021;62.2112546085;6;0;;0;;0;;0;;1;comunale;11;Borgo Panigale - Reno;VIA ADRIANO BANCHIERI;VIA MICHELANGELO BUONARROTI;373.26;0;0;0;2;A944;0;0;Barca;62.2112546085;30;Strade 30 km/h o inferiore
44.49436043571157, 11.282893276449707;"{""coordinates"": [[[11.283299995160041, 44.49428788717083], [11.282486557739373, 44.49443298425231]]], ""type"": ""MultiLineString""}";61;4426;4403;58500;VIA EVANGELISTA TORRICELLI;19911021;66.7272085513;6;4;;6;;5;;11;;1;comunale;11;Borgo Panigale - Reno;VIA ISAAC NEWTON;VIA NICCOLO' COPERNICO;400.38;0;0;0;2;A944;0;0;Barca;66.7272085513;30;Strade 30 km/h o inferiore
44.49765277879523, 11.282076111748061;"{""coordinates"": [[[11.282859003385635, 44.497326051454976], [11.282227010623725, 44.49759148406317], [11.281795812095055, 44.497771742277635], [11.281290683200387, 44.49797331210295]]], ""type"": ""MultiLineString""}";67;4443;4455;61650;VIA CORIOLANO VIGHI;19911021;144.228668834;11;0;;0;;29;;45;;1;comunale;11;Borgo Panigale - Reno;VIA ALESSANDRO SCORZONI;VIA CORIOLANO VIGHI;1586.53;0;1;1;6;A944;0;0;Barca;144.228668834;30;Strade 30 km/h o inferiore
44.49783406068678, 11.285740263830435;"{""coordinates"": [[[11.28641683836302, 44.497703926040806], [11.2852196863807, 44.49792810971975], [11.285146306297134, 44.49796006100285], [11.285103264983915, 44.49802972197132]]], ""type"": ""MultiLineString""}";68;4456;4442;61050;VIA GIOVANNI VERGA;19911021;113.801829134;10;4;;4;;0;;0;;1;comunale;11;Borgo Panigale - Reno;VIA LEONARDO DA VINCI;VIA CORIOLANO VIGHI;1138;0;0;1;1;A944;0;0;Barca;113.801829134;30;Strade 30 km/h o inferiore
44.49644083534821, 11.286362869345764;"{""coordinates"": [[[11.285834608155497, 44.4965418800161], [11.28689113053603, 44.49633979068032]]], ""type"": ""MultiLineString""}";70;4399;4450;10700;VIA BRUNO BUOZZI;19911021;87.0304949428;9;0;;0;;0;;0;;1;comunale;11;Borgo Panigale - Reno;VIA ARTURO COLOMBI;PIAZZA GIOVANNI XXIII;783.27;1;0;0;4;A944;0;0;Barca;87.0304949428;30;Strade 30 km/h o inferiore
44.49683554622876, 11.286079435897312;"{""coordinates"": [[[11.285834608155497, 44.4965418800161], [11.285899264136015, 44.49663022524962], [11.286195633415819, 44.496972278760175], [11.286334708886825, 44.49712042420532]]], ""type"": ""MultiLineString""}";71;4399;4453;58100;VIA NICCOLO' TOMMASEO;19911021;75.5774761768;11.5;2;;6;A;0;;0;;1;comunale;11;Borgo Panigale - Reno;PIAZZA GIOVANNI XXIII;VIA CARLO COLLODI;869.17;0;0;0;1;A944;0;0;Barca;75.5774761768;30;Strade 30 km/h o inferiore
44.498658778394, 11.287453209631497;"{""coordinates"": [[[11.287876854761073, 44.498529410895294], [11.287324243281281, 44.49869794763123], [11.287029736078827, 44.498788705550226]]], ""type"": ""MultiLineString""}";72;4434;13853;27900;VIA ENIO GNUDI;19911021;73.3570947387;11;12;;18;;21;;23;;1;comunale;11;Borgo Panigale - Reno;VIA ARGENTINA ALTOBELLI;VIA CORIOLANO VIGHI;806.96;0;0;0;4;A944;0;0;Barca;73.3570947387;30;Strade 30 km/h o inferiore
44.4976767692839, 11.286592460735601;"{""coordinates"": [[[11.28641683836302, 44.497703926040806], [11.286692518315613, 44.497666335354374], [11.286731919148817, 44.49764563510276], [11.286758922492401, 44.497625175680135]]], ""type"": ""MultiLineString""}";73;4456;4440;15950;VIA MIGUEL DE CERVANTES;19911021;29.3549167116;6;0;;0;;0;;0;;1;comunale;11;Borgo Panigale - Reno;VIA NICCOLO' TOMMASEO;VIA GIOVANNI VERGA;176.1;1;0;0;2;A944;0;0;Barca;29.3549167116;30;Strade 30 km/h o inferiore
44.49592367626279, 11.283743604399302;"{""coordinates"": [[[11.283976383625898, 44.49559197642239], [11.283967980206, 44.49563940387686], [11.283565252009515, 44.49614974876827], [11.28349647271146, 44.49625059994868]]], ""type"": ""MultiLineString""}";77;4436;15748;16550;VIA FRYDERYK CHOPIN;19911021;83.1097363863;6;0;;0;;1;;1;;1;comunale;11;Borgo Panigale - Reno;VIA ADRIANO BANCHIERI;VIA WOLFGANG AMADEUS MOZART;498.66;0;0;0;1;A944;0;0;Barca;83.1097363863;30;Strade 30 km/h o inferiore
44.498239664393466, 11.285626744369445;"{""coordinates"": [[[11.285103264983915, 44.49802972197132], [11.286150223754973, 44.49844960681561]]], ""type"": ""MultiLineString""}";84;4442;4432;61650;VIA CORIOLANO VIGHI;19911021;95.2983745614;11;10;;16;;1;;7;;1;comunale;11;Borgo Panigale - Reno;VIA GIOVANNI CHIARINI;VIA GIOVANNI VERGA;1048.3;1;0;1;2;A944;0;0;Barca;95.2983745614;30;Strade 30 km/h o inferiore
44.497365641528894, 11.286572644197017;"{""coordinates"": [[[11.286758922492401, 44.497625175680135], [11.286769983185888, 44.49759395704919], [11.286771834871642, 44.49756512930382], [11.286334708886825, 44.49712042420532]]], ""type"": ""MultiLineString""}";85;4440;4453;58100;VIA NICCOLO' TOMMASEO;19911021;67.1573816394;11.5;8;;10;B;0;;0;;1;comunale;11;Borgo Panigale - Reno;VIA CARLO COLLODI;VIA MIGUEL DE CERVANTES;772.34;1;0;0;2;A944;0;0;Barca;67.1573816394;30;Strade 30 km/h o inferiore
44.49207848861734, 11.282448183420936;"{""coordinates"": [[[11.283219878096602, 44.492386525741395], [11.283064797740112, 44.492327760003825], [11.281809236668655, 44.491819330371875], [11.28167361116791, 44.49177904543284]]], ""type"": ""MultiLineString""}";88;4413;15481;40850;VIA JODICHE NALDI;19911021;140.229310129;7;2;;6;;1;;7;;1;comunale;11;Borgo Panigale - Reno;VIA RAFFAELLO SANZIO;VIA ARISTIDE ZUCCONI;981.61;1;0;0;1;A944;0;0;Barca;140.229310129;30;Strade 30 km/h o inferiore
44.49260538394709, 11.281473059699572;"{""coordinates"": [[[11.28167361116791, 44.49177904543284], [11.281605418965432, 44.491958893318284], [11.281519632276703, 44.49223189453691], [11.281443597320674, 44.49257188654593], [11.281408841016287, 44.492818963421236], [11.28138785008954, 44.4930632734975], [11.281388569056451, 44.49324494333443], [11.281411184845696, 44.493451077871136]]], ""type"": ""MultiLineString""}";90;15481;4404;52900;VIA RAFFAELLO SANZIO;19911021;188.228923662;11;6;;6;2;5;;9;;1;comunale;11;Borgo Panigale - Reno;VIA JODICHE NALDI;VIA ALBERT EINSTEIN;2070.53;0;0;0;3;A944;0;0;Barca;188.228923662;30;Strade 30 km/h o inferiore
44.498034134821225, 11.28397188416527;"{""coordinates"": [[[11.285103264983915, 44.49802972197132], [11.284819412537948, 44.49840848909103], [11.284771455473559, 44.49842979651504], [11.284702040580006, 44.49842531671087], [11.283447437706455, 44.497943280055686], [11.283388609672437, 44.49790076829674], [11.282859003385635, 44.497326051454976]]], ""type"": ""MultiLineString""}";91;4442;4443;53900;VIA ALESSANDRO SCORZONI;19911021;254.052752416;9.5;4;;18;;3;;23;;1;comunale;11;Borgo Panigale - Reno;VIA CORIOLANO VIGHI;VIA CORIOLANO VIGHI;2413.475;0;0;0;1;A944;0;0;Barca;254.052752416;30;Strade 30 km/h o inferiore
44.49044158438886, 11.291632860285942;"{""coordinates"": [[[11.291592228704133, 44.49053736841401], [11.291673491867746, 44.490345800363706]]], ""type"": ""MultiLineString""}";97;4375;4372;61980;VIA VITALE DA BOLOGNA;19911021;22.2757168674;16;0;;0;;0;;0;;1;comunale;11;Borgo Panigale - Reno;VIA WILIGELMO;VIA DUCCIO DI BONINSEGNA;356.48;0;0;0;2;A944;0;0;Barca;22.2757168674;30;Strade 30 km/h o inferiore
44.48972843320449, 11.29683781685507;"{""coordinates"": [[[11.296976441046988, 44.48955213155544], [11.296699192663155, 44.48990473485353]]], ""type"": ""MultiLineString""}";105;4390;4482;47750;VIA CAMILLO PRAMPOLINI;19920110;44.9796915281;6.1;2;;2;;1;;3;;1;comunale;11;Borgo Panigale - Reno;VIA CLAUDIO TREVES;VIA CAMILLO PRAMPOLINI;274.378;0;0;0;1;A944;6;0;Barca;44.9796915281;30;Strade 30 km/h o inferiore
44.49342736522608, 11.296043071839296;"{""coordinates"": [[[11.296406209339183, 44.49324271895488], [11.29630322896198, 44.49330388044232], [11.296196871163815, 44.49336054028249], [11.29567283436188, 44.49359818638817]]], ""type"": ""MultiLineString""}";111;4487;15505;20050;VIA ERCOLE DE' ROBERTI;19911021;70.5178626689;10;2;;2;;1;;3;C;1;comunale;11;Borgo Panigale - Reno;VIA GIUSEPPE DI VAGNO;VIA ERCOLE DE' ROBERTI;705.2;0;0;0;1;A944;0;0;Barca;70.5178626689;30;Strade 30 km/h o inferiore
44.48993337604693, 11.297366418474395;"{""coordinates"": [[[11.2972313815346, 44.49013607339547], [11.297456316401744, 44.489814091535294], [11.297458369990151, 44.48971661913633]]], ""type"": ""MultiLineString""}";124;4483;4397;11600;VIA ALBERTO CALDA;19911021;50.8640172553;15;8;;10;;9;;13;;1;comunale;11;Borgo Panigale - Reno;VIA CLAUDIO TREVES;VIA ALBERTO CALDA;762.9;1;0;0;2;A944;6;0;Barca;50.8640172553;30;Strade 30 km/h o inferiore
44.49334017361532, 11.299000485693666;"{""coordinates"": [[[11.29960536433952, 44.493181641948276], [11.299447829643054, 44.49322858340661], [11.29897450412601, 44.49335188239673], [11.298391986866553, 44.49348455972193]]], ""type"": ""MultiLineString""}";132;4492;4493;4850;VIA DELLA BARCA;19911021;102.395489557;11.5;22;;22;3E;11;3;11;5;1;comunale;11;Borgo Panigale - Reno;VIA ALESSANDRO GUARDASSONI;VIA FRANCESCO PAOLO MICHETTI;1177.6;0;0;1;4;A944;11;0;Barca;102.395489557;30;Strade 30 km/h o inferiore
44.49254995136894, 11.299281691080894;"{""coordinates"": [[[11.29960536433952, 44.493181641948276], [11.299355332079687, 44.49268392726748], [11.299181053986304, 44.49234625307432], [11.298993989957347, 44.492005834896325], [11.298931967264037, 44.49193461501669]]], ""type"": ""MultiLineString""}";133;4492;4491;29250;VIA ALESSANDRO GUARDASSONI;19911021;148.878368385;12;2;;12;;1;;3;;1;comunale;11;Borgo Panigale - Reno;VIA DELLA BARCA;VIA GASTONE SOZZI;1786.56;0;0;1;1;A944;0;0;Barca;148.878368385;30;Strade 30 km/h o inferiore
44.514426578480865, 11.317733855579572;"{""coordinates"": [[[11.317564477547377, 44.51408726333985], [11.317647380941983, 44.51415567355584], [11.317692236118154, 44.514208306131756], [11.31783460144599, 44.51480652478007]]], ""type"": ""MultiLineString""}";10830;17554;17536;15630;VIA SERGIU CELIBIDACHE;20110118;84.345085899;0;0;;0;;3;;7;4;0;nessuna;12;Navile;VIA SIGMUND FREUD;;0;0;0;0;-1;A944;0;0;Lame;84.345085899;30;Strade 30 km/h o inferiore
44.4980797111714, 11.294358164103873;"{""coordinates"": [[[11.294222777074125, 44.49780757190566], [11.294493551133622, 44.49835185043714]]], ""type"": ""MultiLineString""}";159;4499;4521;43700;VIA GIACOMO PALLOTTI;19911021;64.1998815046;10;2;;4;2;1;;3;2;1;comunale;11;Borgo Panigale - Reno;VIA LINO GUCCI;VIA LUCA ANTONIO TOSI BELLUCCI;642;1;0;0;1;A944;0;0;Barca;64.1998815046;30;Strade 30 km/h o inferiore
44.46231610276247, 11.370713550606958;"{""coordinates"": [[[11.370774917533662, 44.462615485365184], [11.370679315848777, 44.462141635943325], [11.370645224570003, 44.46201838240368]]], ""type"": ""MultiLineString""}";505;5699;5698;58600;VIA TOSCANA;19911021;67.3089170592;18;58;2;58;4A;89;;89;A;1;comunale;16;Savena;VIA VINCENZO BELLINI;VIA JOHANN SEBASTIAN BACH;1211.58;0;0;0;21;A944;42;0;S. Ruffillo;67.3089170592;50;Strade 50 km/h o superiore
44.462774948419415, 11.370808135135094;"{""coordinates"": [[[11.370841352736527, 44.46293441147365], [11.370774917533662, 44.462615485365184]]], ""type"": ""MultiLineString""}";510;5707;5699;58600;VIA TOSCANA;19911021;35.9105299314;18;58;;58;F;87;;87;B;1;comunale;16;Savena;VIA LUDWIG VAN BEETHOVEN;VIA VINCENZO BELLINI;646.38;0;0;0;20;A944;42;0;S. Ruffillo;35.9105299314;50;Strade 50 km/h o superiore
44.463691006164744, 11.37252945010117;"{""coordinates"": [[[11.372794892229994, 44.46351622492157], [11.372763869719257, 44.46357346630181], [11.372703344184718, 44.46362241449724], [11.372622024547043, 44.46367182639769], [11.372408478927152, 44.46374794165338], [11.372222559508755, 44.46380529178372]]], ""type"": ""MultiLineString""}";511;5689;5712;20100;VIA DELLA DIRETTISSIMA;19911021;57.6782034656;22;0;;0;;9;;11;;1;comunale;16;Savena;VIA FRANCO ALFANO;PIAZZALE LUCIANO ANCESCHI;1268.96;1;0;0;3;A944;0;0;S. Ruffillo;57.6782034656;30;Strade 30 km/h o inferiore
44.463911580853825, 11.37187626739071;"{""coordinates"": [[[11.372222559508755, 44.46380529178372], [11.371529975272669, 44.464017869923936]]], ""type"": ""MultiLineString""}";516;5712;5709;20100;VIA DELLA DIRETTISSIMA;19911021;59.9583080892;22;4;;6;A;5;;7;;1;comunale;16;Savena;VIA BRUNO MUGELLINI;VIA FRANCO ALFANO;1319.12;1;0;0;2;A944;0;0;S. Ruffillo;59.9583080892;30;Strade 30 km/h o inferiore
44.463601778032505, 11.369749759913562;"{""coordinates"": [[[11.369798047999224, 44.46447306116449], [11.36979491282062, 44.464332827992905], [11.369696441516384, 44.46273070564028]]], ""type"": ""MultiLineString""}";520;5688;5679;43100;VIA ANTONIO PACINOTTI;19911021;194.169989294;8;8;;22;;29;;37;;1;comunale;16;Savena;VIA ANTONIO LABRIOLA;VIA VINCENZO BELLINI;1553.36;0;0;0;6;A944;0;0;S. Ruffillo;194.169989294;30;Strade 30 km/h o inferiore
44.46411918593826, 11.37118167317156;"{""coordinates"": [[[11.371529975272669, 44.464017869923936], [11.371090901548522, 44.46415241267696], [11.370964429009817, 44.46417497163622], [11.37082985807362, 44.46420681825371]]], ""type"": ""MultiLineString""}";521;5709;5710;20100;VIA DELLA DIRETTISSIMA;19911021;59.6503905077;22;2;;2;1;1;;3;B;1;comunale;16;Savena;VIA TOSCANA;VIA BRUNO MUGELLINI;1312.3;1;0;0;1;A944;0;0;S. Ruffillo;59.6503905077;30;Strade 30 km/h o inferiore
44.49835883512865, 11.300219059445988;"{""coordinates"": [[[11.302326300295723, 44.49949204490808], [11.301795799610073, 44.49922242087084], [11.300913617569794, 44.498750438105496], [11.30023771909736, 44.49838870817351], [11.299643028649738, 44.498069250137824], [11.299372301058616, 44.49792430816073], [11.299221575300969, 44.49783573951853], [11.298990241339016, 44.497694793986334], [11.298711098512435, 44.49751390594493], [11.298453654681675, 44.497334373145584], [11.298173996812716, 44.49712328861423]]], ""type"": ""MultiLineString""}";175;13366;4518;41060;VIA PIETRO NENNI;19930414;422.992836671;12.5;0;;0;;0;;0;;1;comunale;11;Borgo Panigale - Reno;ASSE SUD-OVEST;VIA PAOLO VERONESE;5287.375;0;0;0;2;A944;1;0;Barca;422.992836671;50;Strade 50 km/h o superiore
44.49588444559199, 11.296690001620297;"{""coordinates"": [[[11.295202485100234, 44.494649856731534], [11.295313735012327, 44.494739636315735], [11.296045804103278, 44.4953458167443], [11.297113903606206, 44.49623668789925], [11.298035698026352, 44.49700835140442], [11.298173996812716, 44.49712328861423]]], ""type"": ""MultiLineString""}";178;4463;4518;41060;VIA PIETRO NENNI;19930414;361.948631316;12.5;0;;0;;0;;0;;1;comunale;11;Borgo Panigale - Reno;VIA PAOLO VERONESE;VIA DELLA BARCA;4524.375;1;0;0;3;A944;1;0;Barca;361.948631316;50;Strade 50 km/h o superiore
44.49535727829305, 11.285088702205051;"{""coordinates"": [[[11.284467430549808, 44.49410258382459], [11.284541740733005, 44.49429495418206], [11.284797270824113, 44.49487743872958], [11.28504517401056, 44.495364705434774], [11.285251292115058, 44.4957161388085], [11.285436189286214, 44.495993286758676], [11.285624257431333, 44.4962600726486], [11.285834608155497, 44.4965418800161]]], ""type"": ""MultiLineString""}";181;15267;4399;27500;PIAZZA GIOVANNI XXIII;19911021;292.71992688;13;2;;20;B;1;;21;A;1;comunale;11;Borgo Panigale - Reno;VIA ACHILLE GRANDI;VIA NICCOLO' TOMMASEO;3805.36;0;5;0;1;A944;0;0;Barca;292.71992688;30;Strade 30 km/h o inferiore
44.48638131522595, 11.319124273436064;"{""coordinates"": [[[11.31924659494841, 44.48671250877786], [11.319176184463977, 44.486560323583305], [11.319082539968884, 44.48624305678816], [11.31901037235717, 44.48604653443419]]], ""type"": ""MultiLineString""}";187;4540;4546;42580;VIA FRANCESCO ORSONI;19911021;76.4313824012;10;64;;66;;9;;15;;1;comunale;13;Porto - Saragozza;VIA FRANCESCO ORSONI;VIA FRANCESCO ORSONI;764.3;0;0;0;4;A944;0;0;Costa Saragozza;76.4313824012;30;Strade 30 km/h o inferiore
44.495208626254325, 11.317781944392044;"{""coordinates"": [[[11.317659818613828, 44.49520281200276], [11.31790407017026, 44.4952144405059]]], ""type"": ""MultiLineString""}";336;4697;4691;18000;VIA ANDREA COSTA;19931201;19.4704221315;15;0;;0;;123;;123;B;1;comunale;13;Porto - Saragozza;VIA CARLO ZUCCHI;VIA NINO BIXIO SCOTA;292.05;1;0;0;23;A944;11;0;Costa Saragozza;19.4704221315;30;Strade 30 km/h o inferiore
44.49627438193039, 11.317592949978042;"{""coordinates"": [[[11.31756945517904, 44.49663797904557], [11.317616444777043, 44.4959107848152]]], ""type"": ""MultiLineString""}";344;4688;4686;53950;VIA NINO BIXIO SCOTA;19911021;80.8968996195;10;6;;6;;9;;15;I;1;comunale;13;Porto - Saragozza;VIA ETTORE BIDONE;VIA VALDOSSOLA;809;1;0;0;2;A944;0;0;Costa Saragozza;80.8968996195;30;Strade 30 km/h o inferiore
44.49437261449254, 11.315467905397707;"{""coordinates"": [[[11.315504358444757, 44.494873914136335], [11.315535232730866, 44.494798567702574], [11.31557070556893, 44.494688171685546], [11.315589112060009, 44.49459146361662], [11.315590448239538, 44.494516914821396], [11.31558110412521, 44.49443532691413], [11.31555165231934, 44.49436144810362], [11.315503158776393, 44.494270428182155], [11.315451460727862, 44.49420138507021], [11.315404181205489, 44.49414101156027], [11.315351314227383, 44.494093894911714], [11.315160423444148, 44.4939619594812]]], ""type"": ""MultiLineString""}";349;4687;4645;36050;VIA PAOLO GIOVANNI MARTINI;19911021;113.123394592;11.9;2;;10;;1;;7;;1;comunale;13;Porto - Saragozza;VIA ANDREA COSTA;VIA MARIO BASTIA;1346.128;0;0;0;1;A944;0;0;Costa Saragozza;113.123394592;30;Strade 30 km/h o inferiore
44.498139957097905, 11.316496663452016;"{""coordinates"": [[[11.316894347548008, 44.49878698376551], [11.316098979356024, 44.4974929304303]]], ""type"": ""MultiLineString""}";357;4701;4680;57650;VIA DEL TIMAVO;19911021;157.10328529;20;0;;0;;33;;33;B;1;comunale;13;Porto - Saragozza;VIA PASUBIO;VIA MONTEFIORINO;3142;0;0;0;5;A944;0;0;Saffi;157.10328529;30;Strade 30 km/h o inferiore
44.49760932176358, 11.314795902845914;"{""coordinates"": [[[11.316098979356024, 44.4974929304303], [11.315952881185247, 44.49750298156565], [11.315295923745119, 44.497541560277604], [11.31500260217217, 44.4975580371776], [11.314841553138276, 44.49757392676345], [11.314677812784623, 44.49759618139528], [11.314426624616289, 44.497637053511724], [11.313743276023182, 44.497751904681465], [11.313502072752543, 44.4978016556239]]], ""type"": ""MultiLineString""}";358;4680;16850;58000;VIA TOLMINO;19911021;209.969543869;20;26;;54;;0;;0;;1;comunale;13;Porto - Saragozza;VIA MONTEFIORINO;VIALE MOHANDAS KARAMCHAND GANDHI;4199.4;0;0;0;4;A944;1;0;Saffi;209.969543869;50;Strade 50 km/h o superiore
